"country" "taxRich" "religiousLaw" "freeElection" "helpUnemp" "armyTakesOver" "civilRights" "equalIncome" "obeyRulers" "genderEquality" "importance"
"1" "Belarus" 6 3 10 10 2 10 9 3 10 8
"2" "Estonia" 7 4 8 8 2 7 7 2 8 7
"3" "Georgia" 2 2 10 10 3 9 2 2 10 10
"4" "Germany" 9 1 10 9 1 10 5 1 10 10
"5" "Kazakhstan" 9 2 9 10 3 10 10 9 9 9
"6" "Netherlands" 3 2 7 5 7 7 3 8 10 8
"7" "Poland" 5 1 10 7 1 10 5 10 10 9
"8" "Romania" 5 1 10 10 10 10 5 10 10 10
"9" "Russia" 10 1 10 8 1 10 6 4 10 10
"10" "Slovenia" 9 2 10 10 3 8 7 3 10 8
"11" "Spain" 10 1 7 5 9 6 5 7 7 10
"12" "Sweden" 10 10 10 10 1 10 3 1 10 10
"13" "Turkey" 10 10 10 10 10 10 10 10 10 6
"14" "Ukraine" 10 1 10 10 1 10 10 1 10 10
"15" "Belarus" 10 3 10 10 1 9 10 7 10 6
"16" "Estonia" 8 3 10 9 1 10 4 5 9 10
"17" "Georgia" 1 1 10 10 1 10 8 5 10 10
"18" "Germany" 9 2 8 9 8 8 8 2 10 6
"19" "Kazakhstan" 10 1 10 10 1 10 10 10 10 10
"20" "Netherlands" 7 1 10 5 1 10 4 2 10 10
"21" "Poland" 10 4 10 10 8 8 10 4 10 10
"22" "Romania" 5 1 10 5 10 5 1 10 10 10
"23" "Russia" 5 6 5 6 5 6 5 6 5 5
"24" "Slovenia" 2 2 8 8 8 8 8 8 8 4
"25" "Spain" 9 1 9 10 1 10 8 5 10 6
"26" "Sweden" 9 2 10 10 1 8 4 6 10 10
"27" "Turkey" 10 5 10 10 5 5 5 10 10 10
"28" "Ukraine" 3 6 10 9 1 10 2 7 10 10
"29" "Belarus" 3 4 10 8 6 10 8 2 7 9
"30" "Estonia" 7 4 7 8 2 8 7 5 5 8
"31" "Georgia" 3 3 9 9 8 8 3 3 8 8
