"country" "taxRich" "religiousLaw" "freeElection" "helpUnemp" "armyTakesOver" "civilRights" "equalIncome" "obeyRulers" "genderEquality" "importance"
"1" "Belarus" 10 5 10 10 8 9 5 2 8 5
"2" "Belarus" 8 5 9 7 3 8 3 3 9 8
"3" "Belarus" 8 4 10 10 5 8 3 7 9 10
"4" "Belarus" 8 8 8 8 5 9 5 5 6 5
"5" "Belarus" 8 1 10 2 4 1 5 10 10 1
"6" "Belarus" 7 5 7 6 4 8 3 7 9 10
"7" "Belarus" 7 5 7 6 3 3 3 5 5 9
"8" "Belarus" 8 5 7 7 5 9 1 7 10 8
"9" "Belarus" 6 5 7 7 3 10 1 5 5 9
"10" "Belarus" 8 5 8 5 4 9 2 2 8 10
"11" "Belarus" 9 1 10 8 10 10 10 2 10 10
"12" "Belarus" 5 5 10 9 5 5 5 5 9 9
"13" "Belarus" 4 1 10 5 5 9 9 6 10 10
"14" "Belarus" 3 3 10 5 2 8 8 8 9 9
"15" "Belarus" 10 2 10 9 3 9 5 8 10 9
"16" "Belarus" 1 1 10 10 1 10 5 1 10 10
"17" "Belarus" 1 1 1 10 8 10 10 1 10 10
"18" "Belarus" 5 5 6 3 5 10 5 4 10 10
"19" "Belarus" 9 1 10 8 2 9 9 3 9 9
"20" "Belarus" 10 1 4 6 4 6 9 5 10 10
"21" "Belarus" 6 1 10 9 5 10 5 5 10 10
"22" "Belarus" 8 2 10 9 5 10 9 3 10 6
"23" "Belarus" 5 5 10 10 5 9 9 7 2 5
"24" "Belarus" 3 1 10 7 5 5 5 5 5 8
"25" "Belarus" 1 5 2 3 5 10 8 8 2 9
"26" "Belarus" 8 2 10 9 3 9 9 7 9 10
"27" "Belarus" 9 5 10 10 1 10 9 9 9 9
"28" "Belarus" 4 1 10 10 5 10 5 5 5 10
"29" "Belarus" 10 1 10 10 1 10 10 9 10 10
"30" "Belarus" 10 1 10 10 1 10 9 10 10 10
"31" "Belarus" 6 5 8 8 3 10 1 5 10 8
"32" "Belarus" 6 5 5 5 5 5 5 5 5 7
"33" "Belarus" 7 6 9 5 5 9 2 3 9 7
"34" "Belarus" 8 5 8 5 5 10 2 8 9 10
"35" "Belarus" 5 5 10 9 6 9 3 1 9 10
